epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8330.02,1.36459,1.82886,1.39026,0.54712,0.40771,0.43049,0.29434,1.22664,1.40902,1.26484,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,8747.21,1.36351,1.82211,1.38509,0.55698,0.40401,0.43014,0.29472,1.22683,1.40772,1.26335,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,9164.01,1.35017,1.813,1.38081,0.57526,0.39536,0.43011,0.29427,1.22696,1.41034,1.26392,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,9588.69,1.36188,1.80723,1.38247,0.56862,0.39989,0.43172,0.29568,1.22639,1.40929,1.26372,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,10021.9,1.35026,1.80887,1.3769,0.5556,0.4084,0.43434,0.29759,1.22344,1.40328,1.26138,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,10323.8,1.35959,1.80723,1.38115,0.56077,0.40969,0.43579,0.29858,1.22077,1.39852,1.25899,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,10588.6,1.35461,1.78776,1.37564,0.56687,0.40856,0.43778,0.3,1.21892,1.39487,1.2574,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,10859.3,1.36191,1.79576,1.3789,0.56539,0.41021,0.43845,0.30083,1.2179,1.39266,1.25624,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,11129.3,1.34712,1.78255,1.37377,0.56497,0.4114,0.43901,0.30121,1.21601,1.39025,1.25475,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,11393.2,1.34643,1.77131,1.36686,0.5693,0.41173,0.43936,0.30129,1.21495,1.38887,1.25372,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,11649.2,1.35086,1.77758,1.36958,0.57224,0.40994,0.43989,0.30172,1.21396,1.38767,1.25289,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,11905.8,1.35522,1.7815,1.37255,0.57413,0.41094,0.44032,0.30185,1.21301,1.3868,1.25206,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,12184.3,1.35351,1.77728,1.37333,0.5722,0.41149,0.44046,0.30204,1.21222,1.38641,1.25131,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,12502.2,1.35047,1.77488,1.36707,0.57162,0.41293,0.44074,0.30272,1.21189,1.38669,1.2511,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,12810.7,1.34252,1.77029,1.36459,0.57598,0.41107,0.44104,0.30299,1.21136,1.38731,1.25052,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,13130.3,1.33904,1.76586,1.35937,0.57634,0.41184,0.44169,0.30336,1.21088,1.38751,1.24984,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,13386.3,1.34434,1.76044,1.36536,0.57435,0.41258,0.44171,0.30345,1.21011,1.38789,1.24942,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,13691.8,1.35015,1.76565,1.36863,0.5726,0.41435,0.44177,0.30369,1.20928,1.38861,1.24896,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,14062.2,1.34208,1.74859,1.35884,0.57474,0.41151,0.44126,0.30321,1.20945,1.39006,1.24885,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,14324.7,1.3371,1.75025,1.35617,0.57505,0.41195,0.44113,0.30313,1.20926,1.39164,1.2486,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,14580.9,1.34633,1.76211,1.36288,0.57231,0.41201,0.44055,0.30295,1.20956,1.39327,1.24851,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,14838.4,1.34384,1.75877,1.36617,0.57243,0.41049,0.44026,0.30302,1.20963,1.39537,1.24869,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,15093.3,1.33962,1.75621,1.36131,0.57687,0.40772,0.44004,0.30321,1.20943,1.39775,1.24883,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,15349.1,1.33427,1.74469,1.35997,0.56871,0.41175,0.43949,0.3025,1.21004,1.40067,1.24934,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,15605.1,1.3351,1.7347,1.35122,0.57008,0.40967,0.43866,0.3022,1.21028,1.40468,1.24945,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,15860.7,1.34039,1.73546,1.35504,0.57634,0.40586,0.43829,0.30186,1.21149,1.40888,1.24995,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,16117.6,1.32847,1.73159,1.35116,0.57564,0.40735,0.43782,0.30137,1.21213,1.41358,1.25054,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,16400.5,1.32931,1.73769,1.35306,0.57198,0.40923,0.43681,0.30071,1.21267,1.41915,1.25106,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,16781.7,1.33153,1.74075,1.35525,0.57187,0.40748,0.43564,0.30026,1.21347,1.42457,1.25181,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,17209.2,1.32609,1.73301,1.35138,0.57418,0.40484,0.43483,0.29976,1.21436,1.43082,1.25246,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,17623.8,1.33709,1.72525,1.35306,0.57613,0.40359,0.43387,0.29898,1.21586,1.43712,1.25346,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,18058.2,1.32956,1.73025,1.35178,0.57356,0.4038,0.43308,0.29832,1.21641,1.4437,1.25388,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,18507.2,1.33477,1.72365,1.35032,0.57408,0.3998,0.43149,0.2974,1.21721,1.45024,1.25444,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
