epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8242.77,1.1188,1.31613,1.26801,0.66814,0.5373,0.59071,0.43119,1.01213,1.04311,1.17396,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,8518,1.11879,1.31069,1.26368,0.67665,0.53244,0.59287,0.43275,1.01033,1.03956,1.172,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,8790.16,1.10925,1.3054,1.26155,0.67473,0.5397,0.59596,0.4345,1.00781,1.03483,1.16948,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,9063,1.11982,1.30136,1.26341,0.67327,0.54282,0.59754,0.43641,1.0064,1.03059,1.16871,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,9334.06,1.11979,1.3034,1.26158,0.67923,0.54167,0.59976,0.4379,1.00551,1.02713,1.16785,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,9604.72,1.11662,1.29979,1.26335,0.67636,0.54273,0.60079,0.43912,1.00465,1.02447,1.16697,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,9876.95,1.11455,1.29632,1.25885,0.68224,0.54064,0.60044,0.439,1.00375,1.02221,1.16577,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,10147.4,1.1142,1.28529,1.2573,0.68157,0.53969,0.60162,0.44004,1.0036,1.01955,1.16568,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,10419.1,1.11037,1.28482,1.2581,0.68526,0.53966,0.60265,0.44073,1.00287,1.01789,1.165,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,10690,1.10828,1.2797,1.25423,0.68971,0.53815,0.6032,0.44092,1.00236,1.01692,1.1644,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,10961.3,1.11155,1.27623,1.25268,0.68948,0.53905,0.60387,0.44138,1.00218,1.01624,1.16397,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,11230.8,1.10956,1.27619,1.25245,0.68664,0.54218,0.60456,0.44182,1.00154,1.01482,1.16335,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,11501.2,1.10929,1.27844,1.25171,0.68839,0.54127,0.60501,0.44227,1.00103,1.01397,1.16276,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,11772,1.10545,1.27073,1.2497,0.68875,0.54068,0.60514,0.44277,1.00072,1.01358,1.16243,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,12041.6,1.09726,1.26705,1.24588,0.68603,0.54222,0.60538,0.44313,1.00071,1.01315,1.16212,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,12312.8,1.10315,1.27045,1.24668,0.68748,0.54324,0.60557,0.44313,1.00008,1.01308,1.16154,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,12583.8,1.10002,1.26186,1.24278,0.68219,0.54669,0.60552,0.44332,0.99927,1.0131,1.16094,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,12854.7,1.10413,1.26671,1.24527,0.68519,0.54574,0.6051,0.44302,0.99881,1.01308,1.1606,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,13125.4,1.10082,1.26189,1.24173,0.68892,0.54311,0.60545,0.44349,0.99842,1.01388,1.1604,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,13397.8,1.09967,1.25291,1.24167,0.69066,0.54398,0.60559,0.44327,0.9983,1.01436,1.16027,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,13668.5,1.09781,1.25743,1.23976,0.68925,0.54435,0.60563,0.4433,0.99803,1.01568,1.16011,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,13941.3,1.09799,1.25558,1.24119,0.68542,0.54552,0.6053,0.44321,0.99813,1.01671,1.16024,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,14212.6,1.09969,1.25788,1.24171,0.68283,0.54667,0.60526,0.44337,0.99842,1.01797,1.1604,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,14485,1.09705,1.25288,1.23859,0.68363,0.54498,0.6047,0.44325,0.99819,1.01954,1.16033,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,14756.5,1.09559,1.2445,1.23947,0.68514,0.54472,0.6049,0.44315,0.99811,1.02136,1.1603,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,15026.7,1.09552,1.24556,1.23649,0.6841,0.54533,0.60483,0.443,0.99764,1.02344,1.16005,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,15298.5,1.09187,1.24357,1.23659,0.68641,0.54461,0.60426,0.4427,0.99769,1.02575,1.16023,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,15568.3,1.08979,1.2362,1.23697,0.68574,0.54516,0.60417,0.44244,0.99781,1.02816,1.16039,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,15839.9,1.0916,1.24412,1.23625,0.6872,0.54384,0.60351,0.44241,0.99805,1.03129,1.16075,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,16117.9,1.0879,1.23869,1.23487,0.6858,0.54495,0.60314,0.44174,0.99836,1.03436,1.16111,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,16388.8,1.09166,1.23799,1.23395,0.68891,0.54231,0.60316,0.4418,0.99853,1.03763,1.16114,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,16659.6,1.08899,1.23549,1.23391,0.68956,0.54103,0.60294,0.44169,0.99843,1.04095,1.16134,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,16929.5,1.08684,1.23359,1.23267,0.69042,0.54072,0.60262,0.44167,0.99839,1.04447,1.16152,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,17200.3,1.08956,1.23172,1.23224,0.68956,0.54058,0.60194,0.44117,0.99859,1.04853,1.16176,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,17469.8,1.09302,1.23753,1.23263,0.68951,0.53971,0.60173,0.44103,0.99874,1.05237,1.16198,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,17741.9,1.08407,1.22382,1.2301,0.68995,0.53867,0.6012,0.44121,0.99907,1.05583,1.16231,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,18010.2,1.08737,1.22447,1.22986,0.69167,0.53794,0.60107,0.44082,0.99906,1.05989,1.16233,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
